PLAYER,YEARS_REVEALED,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
Stephen Alexander,4,0.5618295460924517,0.7584853062849023,0.48020498997900285,0.0,0.2916666666666667,0.14347312999273779,0.0,0.33537218097511234,0.3478139991628835,1.0644444444444443,-0.8888888888888888,0.0,0.0,3.094401374709313,0.6670293910267484,5,3,-2,-0.0005456383338469465
Stephen Alexander,5,0.6337565187565755,0.8343741920707393,0.5526991953295948,0.06578947368421052,0.23809523809523808,0.15030410312273054,0.0,0.37409644821370336,0.3803205249745705,1.1477777777777778,-1.0,0.04865990111891751,0.029944838455476755,3.455818211599534,0.7112230816172771,4,3,-1,0.1134975833379414
Stephen Alexander,6,0.5140802228943537,0.655520530431102,0.5046260247936618,0.13157894736842105,0.12896825396825395,0.12241285403050105,0.0,0.32022812285970176,0.286390269177062,0.9191111111111111,-0.6666666666666666,0.09731980223783503,0.062453779475056065,3.0760232516803927,0.639031325483295,3,2,-1,0.017189695815380268
Stephen Alexander,7,0.5151142044090762,0.6584172683910388,0.44713708969736304,0.2573099415204678,0.08774250440917106,0.11340323166303556,0.0,0.2980194152963031,0.27346929759638494,0.7884444444444445,-0.5555555555555556,0.18480885508913006,0.12578186080282677,3.194092557763686,0.6138346153011085,2,1,-1,0.049675061597737824
Stephen Alexander,8,0.4067957246692878,0.55580473206533,0.3571045323558259,0.3162768031189084,0.07231040564373896,0.07171387073347857,0.0,0.24519131888519838,0.21611412308477296,0.644,-0.2222222222222222,0.19002773746691926,0.14448744079216308,2.997604466593401,0.5625789554646173,1,2,1,-0.16668484594496846
Stephen Anderson,3,0.21116234366521425,0.2354497354497354,0.30933779208983564,0.3320473251028806,0.07539682539682538,0.03703703703703702,0.027777777777777776,0.18834834834834832,0.12241215574548904,0.6662222222222223,0.0,0.08246873448011194,0.07148407148407146,2.3591443687995493,0.41278784021968123,4,3,-1,0.17844378317897855
Stephen Anderson,4,0.2685919156220836,0.2804232804232804,0.346582445710511,0.3070987654320987,0.0734126984126984,0.05555555555555553,0.041666666666666664,0.23067067067067065,0.15156695156695155,0.6960000000000001,0.0,0.09644453474197477,0.09039109039109036,2.6384045751935816,0.47751687315170793,3,2,-1,-0.01028955954084003
Stephen Anderson,5,0.19455320846746643,0.19745069745069743,0.29288377826740075,0.2600776281331837,0.04365079365079364,0.040509259259259245,0.027777777777777776,0.18187447721694294,0.1114461825153649,0.618,0.0,0.08120982610303687,0.06275335345102784,2.1121869822929513,0.37676758016940526,2,1,-1,-0.09770066299901259
Stephen Anderson,6,0.15378733857842697,0.15398428731762062,0.30168511082429045,0.3066237422962569,0.027777777777777776,0.03587962962962962,0.013888888888888888,0.1855474195656844,0.08984393198229675,0.664888888888889,0.0,0.09475389624287775,0.04329821771682234,2.0719591297094615,0.3651543988043849,1,1,0,-0.027320586450016338
Stephen Baker,3,0.5844203448256987,0.48391734052111407,0.49714651053233727,0.0,0.34523809523809523,0.12790242165242163,0.16666666666666666,0.5535712868784354,0.28167641325536064,1.0715555555555556,0.0,0.0,0.0,4.112094635125685,0.7673582218084042,3,5,2,0.010839209368269912
Stephen Baker,4,0.836660057051137,0.6755137162346398,0.7116679732721372,0.0,0.5158730158730158,0.193513431013431,0.18518518518518517,0.6511986093682873,0.3959601384413415,1.4904444444444445,0.0,0.0,0.0,5.65601657088362,0.878928784796416,2,4,2,-0.02923866875389458
Stephen Baker,5,0.9055721112201144,0.708379933218007,0.8706983460823887,0.0,0.5277777777777777,0.22764295889295888,0.18518518518518517,0.5794355609537092,0.4049906512312527,1.702,0.0,0.0,0.0,6.1116825245613935,0.9022535048653222,1,3,2,-0.049222781028420926
Stephen Davis,3,0.2176869201814209,0.36469760900140646,0.27318345760749374,0.0,0.05555555555555555,0.03289760348583877,0.0,0.20305290300293632,0.11877995642701525,0.6097777777777778,-0.1111111111111111,0.0,0.0,1.7645206719283335,0.3871081436820592,7,3,-4,-0.04188390575890364
Stephen Davis,4,0.32582046888384636,0.5299372234228671,0.37825457488042497,0.0,0.08333333333333333,0.057924836601307164,0.0,0.30681294774676965,0.1619427541131395,0.7682222222222221,-0.3333333333333333,0.0,0.0,2.2789150278705765,0.5357445521076756,6,3,-3,0.003470340576464596
Stephen Davis,5,0.3631250934240143,0.6368100373088526,0.401044104775506,0.0,0.05555555555555555,0.05949527959331878,0.0,0.36972835038013807,0.16320078989450185,0.715111111111111,-0.5555555555555556,0.0,0.0,2.2085147664874425,0.539340000375255,5,3,-2,-0.05718864779066383
